[src/logging.rs::60][2024-07-09 15:56:33][DEBUG] command line: /data/kzkarttu/software/modkit/modkit pileup ../align/concatenated/GP5d_DNMTi_HDACi_concatenated.bam stdout -t 40 --log-filepath pileup_GpC_no_GCG.log --ref /data/kzkarttu/annotations/genome/GRCh38.primary_assembly.genome.fa --ignore h --motif GCT 1 --motif GCA 1 --motif GCC 1
[src/logging.rs::60][2024-07-09 15:57:59][DEBUG] command line: /data/kzkarttu/software/modkit/modkit pileup ../data/Nanopore/GP5d_DNMTi_HDACi/align/concatenated/GP5d_DNMTi_HDACi_concatenated.bam stdout -t 40 --log-filepath pileup_GpC_no_GCG.log --ref /data/kzkarttu/annotations/genome/GRCh38.primary_assembly.genome.fa --ignore h --motif GCT 1 --motif GCA 1 --motif GCC 1
[src/pileup/subcommand.rs::448][2024-07-09 15:57:59][INFO] calculated chunk size: 60, interval size 100000, processing 6000000 positions concurrently
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 38 positions in tid 93, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 47 positions in tid 60, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 37 positions in tid 95, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1381 positions in tid 176, took 0.0010s (37.24 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 23 positions in tid 109, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 130 positions in tid 192, took 0.0030s (26.53 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 21 positions in tid 49, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 4880 positions in tid 180, took 0.0070s (24.06742857142857 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 5979 positions in tid 170, took 0.0070s (23.57857142857143 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 38 positions in tid 69, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 25 positions in tid 85, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 1284 positions in tid 191, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 12 positions in tid 71, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1654 positions in tid 182, took 0.0010s (66.486 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 23 positions in tid 98, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 19 positions in tid 63, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 22 positions in tid 78, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 5132 positions in tid 142, took 0.0080s (21.881875 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1251 positions in tid 147, took 0.0040s (10.5525 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 4952 positions in tid 29, took 0.0080s (23.198875 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 35 positions in tid 88, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 2028 positions in tid 126, took 0.0010s (91.309 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 5416 positions in tid 29, took 0.0080s (23.198875 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 72 positions in tid 99, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1028 positions in tid 171, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 4560 positions in tid 33, took 0.0030s (58.86933333333333 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 24 positions in tid 43, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 20 positions in tid 73, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 5 positions in tid 57, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 24 positions in tid 125, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1107 positions in tid 168, took 0.0020s (20.7715 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 40 positions in tid 99, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 54 positions in tid 61, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 24 positions in tid 53, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 21 positions in tid 49, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 22 positions in tid 73, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 11 positions in tid 80, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 16 positions in tid 97, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1909 positions in tid 193, took 0.0010s (71.251 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 4830 positions in tid 38, took 0.0020s (89.8465 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 10 positions in tid 55, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 4 positions in tid 88, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 14 positions in tid 91, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 8 positions in tid 95, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 4728 positions in tid 169, took 0.0030s (59.924 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 9 positions in tid 89, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 17 positions in tid 100, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1240 positions in tid 162, took 0.0010s (43.739 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 34 positions in tid 72, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 1069 positions in tid 176, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 35 positions in tid 127, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 57 positions in tid 139, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 106 positions in tid 62, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 1489 positions in tid 126, took 0.0010s (91.309 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 44 positions in tid 108, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 54 positions in tid 110, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 75 positions in tid 94, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1419 positions in tid 190, took 0.0010s (40.191 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 60 positions in tid 43, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 46 positions in tid 54, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 60 positions in tid 125, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 10 positions in tid 77, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 24 positions in tid 75, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 37 positions in tid 57, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 54 positions in tid 51, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 1001 positions in tid 168, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 4758 positions in tid 180, took 0.0040s (42.118 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 3004 positions in tid 30, took 0.0020s (46.3445 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 12 positions in tid 124, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1019 positions in tid 154, took 0.0040s (9.5135 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 12 positions in tid 45, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 8 positions in tid 128, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 3 positions in tid 81, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 60 positions in tid 67, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 1 positions in tid 107, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 7 positions in tid 82, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 129 positions in tid 133, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 13 positions in tid 117, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 4563 positions in tid 161, took 0.0030s (57.60333333333333 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 11 positions in tid 127, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 691 positions in tid 143, took 0.0020s (16.016 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 34 positions in tid 91, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 58 positions in tid 61, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 6 positions in tid 72, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 33 positions in tid 49, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 86 positions in tid 109, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 25 positions in tid 119, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 48 positions in tid 97, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1290 positions in tid 159, took 0.0010s (38.115 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 115 positions in tid 75, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 42 positions in tid 94, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 38 positions in tid 68, took 0.0000s (inf kb/msec)
